Name,Website,Aliases,Description,Related Disease 1,Related Disease 2,Related Disease 3,Related Disease 4,Related Disease 5
手上有小水泡,https://jbk.39.net/zhengzhuang/ssyxsp/,,手上有小水泡常见于汗疱疹。汗疱疹又称出汗障碍疹，是皮肤湿疹的一种，对称性的发生于手或脚的侧面。是发生在掌跖的水疱性皮肤病。,皲裂性湿疹,水疱性远端指炎,手湿疹,,
静脉曲张性外痔,https://jbk.39.net/zhengzhuang/jmqzxwz/,,静脉曲张性外痔是齿线以下痔外静脉丛曲张，在肛门缘形成圆形、椭圆形或棱形柔软肿块。如有水肿，则形状变大。在祖国医学中，它属于气痔范畴。如《疮疡经验全书·痔漏图说》中说：“气痔，感气即下。”本病一般不...,肛管损伤,内痔,外痔,痔疮,肛门直肠周围脓肿
脾湿,https://jbk.39.net/zhengzhuang/ps/,,"脾湿可分为寒湿和湿热.其中寒湿困脾是指寒湿内盛,困阻脾阳脾失温运,以纳呆,腹胀,便溏,身重为主要表现的寒湿证候.其临床表现为脘腹胀满,口腻纳呆,欲呕,口淡不渴,腹痛便溏,头身困重,或小便短少,肢体肿胀,或身目发黄,面...",寒湿困脾,心脾两虚,脾疳,,
玫瑰疹,https://jbk.39.net/zhengzhuang/mgz/,,玫瑰疹(roseola)是一种鲜红色的圆形斑疹，直径2-3mm，由病灶周围的血管扩张所形成，压之褪色，松开时有复现，多出现于胸腹部。,药物过敏,伤寒与副伤寒,鼠咬热,玫瑰糠疹,二期梅毒
面色苍白,https://jbk.39.net/zhengzhuang/mscb/,,苍白脸色是由于脸部毛细血管充盈不足而引起的，中医认为这是体质差的表现。此外，如大出血、休克引起毛细血管强烈收缩，甲状腺机能减退、慢性肾炎、铅中毒等，也均会引起脸色苍白的现象。,阴冷,不孕不育,结石,肾病,人流综合症
脾气虚,https://jbk.39.net/zhengzhuang/pqx/,,脾气虚证是指脾气不足，失其健运所表现的证候。多因饮食不节，劳累过度，久病耗伤脾气所致。,产后虚羸,蓐劳,色欲伤,脾虚泄泻,经行泄水
输卵管堵塞,https://jbk.39.net/zhengzhuang/slgds/,,输卵管阻塞是导致女性不孕的重要原因之一，国内外的研究表明，至少80%的患者可通过非外科手段达到近端输卵管再通。输卵管再通术在介入治疗领域开展有10多年的历史，在输卵管阻塞不孕症的诊断和治疗方面，以其效果...,输卵管炎,,,,
糖尿病皮肤病变,https://jbk.39.net/zhengzhuang/tnbpfbb/,,糖尿病患者可发生皮肤病变。糖尿病皮肤病变的发病机理是以微血管病变为主的多因素的病理过程，而高血糖不过是多种代谢紊乱中的明显标志之一。,皮肤病,肺孢子丝菌病,糖尿病,老年人短暂性大脑缺血性发作,
皮肤粗糙,https://jbk.39.net/zhengzhuang/pfcc/,,皮肤粗糙的主要原因是因为汗水与脂肪所形成的脂肪膜被破坏。皮肤粗糙又可分两类，一是因为体质原因，这多数发生在干性皮肤身上，是因为干性皮肤的汗腺与皮脂腺的分泌一向就比较少的缘故。同时在干燥的寒冬或者阳...,慢性疲劳综合症,皮肤病,湿毒疮,皲裂疮,甲状旁腺功能减退性心肌病
耳鸣,https://jbk.39.net/zhengzhuang/em2/,,耳鸣是听觉功能的紊乱现象，也是听分析器对适宜的和不适宜的刺激所产生的反应。耳鸣有间歇性，也有持续性。有单一频率窄带噪音或白噪音等多种表现。耳鸣原因很多，常为某些疾病特别是听力损失的伴随症状。耳鸣一...,耳疔,小儿眼-耳-脊椎综合征,遗传性耳瘘,气压创伤性中耳炎,分泌性中耳炎
心跳加快,https://jbk.39.net/zhengzhuang/xtjk/,,正常心率应当在每分钟60至90次之间，运动员心率可能会稍慢一些。控制人的心跳快慢的机制是这样的：在主动脉根部有个窦房节，自主定时发出电刺激，经过传导束的传递，将电流传至心肌，引起心肌收缩;同时，中枢神经...,潮热,电击伤,汽油中毒,结肠类癌,呼吸性酸中毒
胃寒疼痛,https://jbk.39.net/zhengzhuang/whtt/,,胃寒疼痛是胃寒症的临床表现。胃寒症是指阴寒停留于胃腑所表现的症候，多因过食生冷所致。,胃肿瘤,胃寒呕吐,胃病,老年人甲减性心脏病,
排尿不畅,https://jbk.39.net/zhengzhuang/pnbc/,,造成小便不畅的主要原因是由于排尿径路上有了阻塞，或者是膀胱缺乏收缩能力。,老年人尿路感染,单纯型尿路感染,关格,埃及血吸虫病,神经源性膀胱
咳出黄色痰液,https://jbk.39.net/zhengzhuang/kchsty/,,气管炎导致的咳嗽特点：早期为轻度干咳，以后转为湿性咳嗽，可咳出黄色脓痰。早期有感冒症状，如发热、打喷嚏。,肺热咳嗽,肝火犯肺,风热犯肺,急性气管支气管炎,喘息样支气管炎
水样便,https://jbk.39.net/zhengzhuang/syb/,,"急性水样便腹泻是临床常见症状之一,主要由病毒或产肠毒素性细菌引起。",肠炎,贾第虫病,阿米巴痢疾,蜡样芽孢杆菌食物中毒,葡萄球菌性食物中毒
免疫力下降,https://jbk.39.net/zhengzhuang/mylxj/,,免疫力是人体自身的防御机制，是人体识别和消灭外来侵入的任何异物(病毒、细菌等)，处理衰老、损伤、死亡、变性的自身细胞以及识别和处理体内突变细胞和病毒感染细胞的能力。免疫力低下的身体易于被感染或患癌症,排卵期,考后综合症,C5功能不全综合征,垂体腺瘤,Ⅱ型免疫母细胞性淋巴腺病
视物模糊,https://jbk.39.net/zhengzhuang/swmh/,(雾视),症状名，视物模糊即雾视，看东西模糊不清，是闭角型青光眼的早期症状，而闭角型青光眼是我国的一种常见类型的青光眼。也可以是用眼疲劳，或者近视，远视造成。如是老人也可能是白内障等眼部疾患造成。所以突然间...,交感神经型颈椎病,老花眼,慢性疲劳综合症,体质性低血压,角膜炎
颈部僵硬,https://jbk.39.net/zhengzhuang/jbjy/,,颈部僵硬是指颈部肌肉紧张，发胀、发硬，痉挛(抽筋)等现象，脖子运动不灵活。 常见于疲劳、颈椎病。颈部僵硬为持续性的肌肉收缩过度，不但使颈部肌肉血液供应减少，也造成代谢物如乳酸等聚积，而引起肌肉缺血性疼...,项痹,五硬,颈型颈椎病,脑膜炎,颈椎病
腰膝酸软,https://jbk.39.net/zhengzhuang/yxsr/,,腰膝酸软是中医所说肝肾亏损的一种症状。症现于四肢五官，病存于五脏六腑。,阴冷,肝阳上亢,阴汗,心肾不交,五更泄
臀部酸痛,https://jbk.39.net/zhengzhuang/tbst/,,臀部酸痛也是门诊常见的主诉之一，由于位置非常的特殊，因此有很多时候常会和下背痛、坐骨神经痛混淆不清。臀部酸痛除了要考虑关节本身的病变之外，同时也要排除关节周边的病变，和远处病灶的牵扯痛。,风湿性关节炎,腰部慢性劳损,腰椎间盘突出,癌肿性关节炎,骨关节炎
腹股沟痒,https://jbk.39.net/zhengzhuang/fggy/,,腹股沟痒多数是股癣引起的，股癣是指股内侧、会阴、臀部感染真菌后引起的皮肤病。,股癣,单纯性疱疹,瘙痒症,体癣,红癣
持续性头晕,https://jbk.39.net/zhengzhuang/cxxty/,,一般普通急性头晕，最多维持一至两个星期左右便消失，若维持一个月以上就是持续性头晕。可由脑部疾病，贫血，全身性疾病等多方面因素引起。,贫血,位置性眩晕,,,
鼻腔干燥及结痂,https://jbk.39.net/zhengzhuang/bqgzjjj/,,鼻腔如果长期感觉干燥并出现加痂现象，这证明你鼻腔内的生理环境已经发生改变，鼻腔自我保护系统已经开始出现问题了，如果没引起足够重视，可能会引发鼻炎。,创伤性鼻中隔穿孔,干燥综合征,鼻前庭炎,慢性干燥性鼻炎,萎缩性鼻炎
餐后血糖高,https://jbk.39.net/zhengzhuang/chxtg/,,"2型糖尿病中第二期临床表现为，抵抗加重，虽有高胰岛素血症，但受体愈不敏感,仍出现餐后高血糖症;其表现为空腹血糖正常但餐后血糖升高。",高渗性非酮症高血糖昏迷,青年人中的成年发病型糖尿病,2型糖尿病,,
泌尿系统感染,https://jbk.39.net/zhengzhuang/mnxgr/,(泌尿系感染),泌尿系感染简称尿感，是由细菌直接侵入尿路而引起的炎症。感染可累及上、下泌尿道，因定位困难统称为尿感。临床上分为急性及慢性两种。前者起病急，症状较典型易于诊断，但婴儿期症状可不典型，诊断多有困难。慢...,阴沟肠杆菌感染,支原体感染,白细胞减少症和粒细胞缺乏症,小儿尿路梗阻,小儿输尿管脱垂
持续性咳嗽,https://jbk.39.net/zhengzhuang/cxxks/,,"咳嗽是呼吸系统中最常见的症状之一，是人体的一种保护性措施，对机体是有益的,当呼吸道粘膜受到异物、炎症、分泌物或过敏性因素等刺激时，即反射性地引起咳嗽，有助于排除自外界侵入呼吸道的异物或分泌物、消除...",儿童顿咳,胆咳,鼻炎,小儿气胸,肺闭喘咳
气血不足,https://jbk.39.net/zhengzhuang/qxxr/,(气血虚弱),气虚证是人体之气不足导致气的基本功能减退的虚弱证候。这里的“气”，指的是全身之气，也涵盖脏腑、组织之气。,产后虚羸,血症,血证,虚劳,肝血虚证
滑膜发炎,https://jbk.39.net/zhengzhuang/hmfy/,,滑膜炎是滑膜受到刺激产生炎症，造成分泌液失调形成积液的一种关节病变.膝关节是全身关节中滑膜最多的关节，故滑膜炎以膝为多见。滑膜细胞分泌液体，可以润滑和滋养关节，机体运动时膝关节所产生的热能全赖于滑...,滑囊炎,腰椎间盘突出,骨关节炎,创伤性关节炎,色素沉着绒毛结节性滑膜炎
阴囊肿大,https://jbk.39.net/zhengzhuang/ynzd1/,,阴囊肿大是指阴囊皮肤及其内含物（鞘膜、睾丸、附睾和精索）有病变，或腹腔内容物（腹水、内脏）等下降进人阴囊，致使阴囊体积增大。阴囊壁或鞘膜、睾丸、附睾和精索等阴囊内含物，因急、慢性炎症、寄生虫侵...,睾丸癌,水疝,囊痈,脱囊,睾丸扭转
婴儿睡觉摇头,https://jbk.39.net/zhengzhuang/yesjyt/,,婴幼儿时期，睡眠时头部有异常摇头动作，大部分是由缺钙，耳部炎症引起的，还有一些是正常的情况。,,,,,
左上腹压痛,https://jbk.39.net/zhengzhuang/zsfyt/,,左上腹压痛，主要是胃、脾等出现问题引起的。主要表现为将手放于左上腹部腹壁逐渐深压即发生疼痛感。,,,,,
子宫内膜异位,https://jbk.39.net/zhengzhuang/zgnmyw/,,子宫内膜异位症是子宫内膜生长在子宫腔以外的任何部位所引起的妇科疾病。如在卵巢、子宫骶骨韧带、子宫下段后壁浆膜层、子宫直肠陷窝以及乙状结肠的盆腔腹膜等处，亦可在子宫肌层发生，故临床上将子宫内膜异位症...,子宫性不孕,不孕不育,人流后妇科病,不孕症,
阴道闭锁,https://jbk.39.net/zhengzhuang/ydbs/,,阴道完全闭锁，多因先天性发育畸形所致，患者的子宫亦常发育不全，故即使采用手术矫正阴道，受孕的机会极少。阴道不完全闭锁往往是由产伤、腐蚀药、手术或感染而形成的瘢痕挛缩狭窄，其中央仅留小孔，闭锁位置低...,外阴阴道性不孕,阴道血管肉瘤,性交疼痛,闭经,老年性阴道炎
小腿发胀,https://jbk.39.net/zhengzhuang/xtfz/,,小腿发胀是下肢静脉功能不全的症状之一。下肢静脉功能不全是下肢静脉疾病的总称。严格来说，下肢大隐静脉曲张不是一个单一的疾病，而是下肢静脉功能不全的最主要表现，其他表现包括下肢表皮瘙痒抓痕、湿疹、色素...,下肢静脉血栓,单纯性下肢静脉曲张,原发性下肢静脉瓣膜关闭不全,老年静脉血栓症,
胆绞痛,https://jbk.39.net/zhengzhuang/djt/,,胆绞痛是由于胆囊或胆管内结石移动，造成胆囊管或胆总管的暂时性梗阻而引起的绞痛。表现为上腹持续性痛，阵发性加重，放射到肩背或胸部，伴恶心呕吐，如果同时并发胆道感染，可随之发生寒战、发热、黄疸。,胆石,胆总管结石,胆囊结石,陶瓷样胆囊,Mirizzi综合征
阴囊下坠,https://jbk.39.net/zhengzhuang/ynxz/,,"有的男子经常感到阴囊沉重下坠,或胀满不适,并伴有隐痛。大多数人认为这性生活不当有关。其实,造成阴囊坠胀的原因是多方面的,既有疾病引起的,也有非疾病因素。",睾丸癌,淋病后综合征,气疝,睾丸炎,脱囊
舌苔厚腻,https://jbk.39.net/zhengzhuang/sthn/,,舌苔是正常人的舌背上有一层薄白而润的苔状物，叫舌苔。由脱落的角化上皮。唾液、细菌、食物碎屑及渗出的白血细胞等组成。在正常情况下，由于咀嚼和吞咽动作，以及唾液、饮食的冲洗，经常不断地清除掉舌表面的物...,夏季感冒,食滞胃脘主证,肝胆湿热,恶寒发热,小儿盘肠气痛
多饮,https://jbk.39.net/zhengzhuang/dy1/,,糖尿病人无法将人体从食物中吸收的各种糖以正常人的水平转换成肝糖元和肌糖元，他们所吸收的糖在人体糖循环的途径中分解成了葡萄糖之后就无法再利用了，而用来过滤血液内杂质的肾脏就会把血液里的葡萄糖吸收到尿...,胆源性慢性胰腺炎,甲状腺功能亢进症的肾损害,肾性尿崩症,糖尿病酮症酸中毒,糖尿病肾病
手麻,https://jbk.39.net/zhengzhuang/sm2/,,手部麻痛是手部疾病中常见的一种症状，它常提示上肢神经受到了卡压。,化脓性腱鞘炎,手部伸肌腱损伤,指骨骨折,第一掌骨基底部骨折脱位,月骨脱位及月骨周围脱位
输卵管粘连,https://jbk.39.net/zhengzhuang/slgzl/,,简介：输卵管粘连堵塞有轻有重，粘连共分三度，输卵管挟部粘连为一度：输卵管与宫角结合部粘连为二度;输卵管壶部与伞口粘连为三度。,输卵管性不孕,输卵管积水,人流后妇科病,慢性输卵管炎,急性输卵管炎
舌痛,https://jbk.39.net/zhengzhuang/st/,,舌痛是指舌尖、舌边、舌心、舌根或全舌等不同部位有灼痛、辣痛、麻痛、涩痛等感觉的一种病证。,痰毒,痰毒,垂痈,婴幼儿舌下囊肿,婴幼儿舌下囊肿
牙齿发黄,https://jbk.39.net/zhengzhuang/ycfh/,,由于各种不同原因引起，牙齿呈现黄色。,四环素牙,维生素E缺乏病,,,
右胸痛,https://jbk.39.net/zhengzhuang/yxt/,,右胸痛是胸壁疼痛的症状之一。胸壁疼痛又称肌肉骨骼疼痛。,梅毒性骨软骨炎,胸壁软组织损伤,小儿嗜血流感杆菌肺炎,高致病性禽流感病毒感染,肋骨骨折
阴道血性分泌物,https://jbk.39.net/zhengzhuang/ydxxfmw/,,阴道分泌物为血性或带有血丝。,宫颈炎,外阴癌,宫颈白斑,绝经后子宫内膜癌,婴幼儿外阴阴道炎
病理性黄疸,https://jbk.39.net/zhengzhuang/blxhd/,,黄疸在新生儿较其他任何年龄都常见，其病因特殊而复杂，既有生理性黄疸，又有病理性黄疸，还有母乳性黄疸。这些情况要区别对待，加以处理。如果孩子在出生后24小时内就出现黄疸或黄疸发展过快，持续时间较长，甚...,女劳疸,母乳性黄疸,黄疸,无胆色素尿性黄疸综合征,新生儿迁延性胆汁淤积性黄疸
电解质紊乱,https://jbk.39.net/zhengzhuang/djzwl/,,电解质紊乱（electrolyte disturbance） ，通俗的讲就是身体里的离子（如钠、钾等）或高或低，不在正常范围值内的情况，标准名称为水和电解质紊乱。临床上常见的水与电解质代谢紊乱有高渗性脱水、低渗性脱水、等渗性脱水...,利德尔综合征,垂体卒中,小儿呼吸衰竭,小儿食管化学性烧伤,钡中毒
红眼,https://jbk.39.net/zhengzhuang/hy/,(传染性结膜炎),红眼是指眼白发红。这是一种笼统的概念。球结膜和巩膜组织的血管在某种情况下出现扩张充血、淤血或出血时，即可呈现眼白发红。由于眼部各部分组织的血供来源不同，其表现的红眼形态也不一样，而反应的病变部位也...,咽结膜热,结膜炎,眼部肿瘤,霜样树枝状视网膜血管炎,炎症性肠道疾病及其伴发的葡萄膜炎
雄激素过少,https://jbk.39.net/zhengzhuang/xjsgs/,,雄性激素(xiongxingjisu)又称“男性激素”。促进男性附性器官成熟及第二性征出现，并维持正常性欲及生殖功能的激素。以睾丸分泌的睾丸酮(睾酮)为主，另外，肾上腺皮质、卵巢也能分泌少量的雄激素。属类固醇激素。如果...,男性生殖腺机能减退症,阳痿,隐睾,,
胃肠道胀气,https://jbk.39.net/zhengzhuang/wcdzq/,,胃肠道胀气在临床上是十分常见的，常表现为嗳气、腹胀腹痛和矢气(放屁)。,中满,夹阴伤寒,腹胀,小儿腹胀,空肠、回肠憩室
抽搐,https://jbk.39.net/zhengzhuang/cc/,(抽筋),抽筋是抽搐的俗称，是大脑功能暂时紊乱的一种表现。人体肌肉的运动是受大脑控制的，当管理肌肉运动的大脑有关细胞暂时过度兴奋时，就会发生不能自控的肌肉运动，可局限于某群肌肉或身体一侧，或波及全身，即抽筋。,细菌性咽扁桃体炎,痰饮,红蝴蝶疮,慢惊风,肝风内动证
肛乳头肥大,https://jbk.39.net/zhengzhuang/grtfd/,,"由于肛窦的两旁肛乳头,所肛窦发炎后首先波及肛乳头,引起肛乳头发炎,肿胀肥大.",葡萄痔,肛窦炎,直肠息肉,,
不典型胸痛,https://jbk.39.net/zhengzhuang/bdxxt/,,不典型胸痛，其胸痛症状不典型，临床上胸痛，胸部不适是常见的症状，其临床表现各异。比如胃疼、脖子疼、牙疼、嗓子疼等等。,心律失常,酒精性心肌病,心肌炎,冠心病,
阵发性瘙痒,https://jbk.39.net/zhengzhuang/zfxsy/,,"阵发性瘙痒是一种可经引起立即进行搔抓愿望的主观感觉。是皮肤病最常见的共同症状。
由于各种皮扶病的不同和个体第三度的不同，瘙痒的严重和度可轻可重，可边发性，音断性和持续性。也可是局限性，泛发性或...",皮肤病,特应性皮炎,痒疹,瘙痒症,外阴瘙痒
过敏性皮炎,https://jbk.39.net/zhengzhuang/gmxpy/,(过敏性皮肤炎症),    过敏性皮炎是由许多因素导致的皮肤炎症反应。常见的过敏性皮炎主要有二类：接触性皮炎和化妆品皮炎。不同致病因素所致的过敏反应不同。,过敏,日光性皮炎,皮肤过敏,真菌过敏症,赖利-戴综合征
婴儿吐奶,https://jbk.39.net/zhengzhuang/yetn/,,吐奶在新生儿是正常现象，大多数婴儿在出生后头几个月基本上每天都要吐奶几次。尽管很多妈妈都知道新生儿由于生理原因才容易导致吐奶，但一看到自家宝宝吐奶时，还是紧张得不知所措。这里，我们将向你详细介绍有...,吞气症,新生儿肺炎,小儿时期常见的呕吐,先天性肛门直肠畸形,
皮肤发红,https://jbk.39.net/zhengzhuang/pffh1/,,皮肤发红是面部毛细血管扩张性能差、角质层受损或一部分毛细血管位置表浅引起的面部现象，一丝丝纵横交错，如蜘蛛网般，分散性分布，严重者会连成片状，变成红脸，这种皮肤薄而敏感，过冷、过热、情绪激动、温度...,痈,皮肤病,赤游丹,皮痹,皮肤过敏
骶髂关节疼痛,https://jbk.39.net/zhengzhuang/dqgjtt/,,骶髂关节疼痛是患有骶髂关节结核常出现的临床症状。骶髂关节结核临床上并不多见，约占全身骨关节结核的8 % 。早期症状及X 线征像不典型，同骶髂关节其他疾病有许多相似之处，易产生误诊。骶髂关节结核作为全身结核...,骨关节病,退变性骶髂关节炎,骶髂关节扭伤或半脱位,强直性脊柱炎,风湿寒性关节痛
骨盆痛,https://jbk.39.net/zhengzhuang/gpt/,(骨盆疼痛综合征),骨盆疼痛综合征引起的酸痛 。这种腰酸是因为怀孕期盆腔脏器位置的改变以及局部代谢障碍所致。孕妈咪感到疼痛自骨盆部位向大腿，腹股沟，子宫等部位放射。而且还会感到胎儿已十分靠近盆腔下部，好似分娩迫在眉睫,盆腔炎症性不孕症,先天性髋关节外展挛缩和骨盆倾斜,慢性盆腔炎,畸形性骨炎,骨关节炎
病毒性腹泻,https://jbk.39.net/zhengzhuang/bdxfx/,,病毒性腹泻、顾名思义是由病毒引起的。尤其是轮状病毒(因病毒颗粒外观像车轮而得名)感染多见，又因为大多在秋冬季发生(其他季节也有散发)，又称秋季腹泻。,小儿泄泻,拉肚子,婴幼儿腹泻,慢性腹泻,
癌性发热,https://jbk.39.net/zhengzhuang/axfr/,,癌性发热是指癌症患者在排除感染、抗生素治疗无效的情况下出现的直接与癌症有关的非感染性发热和患者在肿瘤发展过程中因治疗而引起的发热。,脾脏转移性肿瘤,急性白血病,肺癌,,
气喘,https://jbk.39.net/zhengzhuang/qc/,,“哮喘”的俗称，气喘是运动伤害的一种。,接触性荨麻疹,痰饮,肺痿,人流综合症,
冠状动脉供血不足,https://jbk.39.net/zhengzhuang/gzdmgxbz/,,冠状动脉供血不足：完全没有心绞痛的发作，但在安静时或运动时的心电图有冠状动脉供血不足的表现，即ST段下降和T波的改变，称为冠状动脉供血不足。临床上分为两种类型，一种虽无心绞痛发作，但有心功能不全和心律...,痛风性心肌病,二尖瓣、主动脉瓣和三尖瓣的合并疾患,冠状动脉异常起源主动脉,冠状动脉异常起源于肺动脉,冠状动脉粥样硬化性心脏病
肠子粘连,https://jbk.39.net/zhengzhuang/czl/,,肠粘连是由于各种原因引起的肠管与肠管之间，肠管与腹膜之间，肠管与指导腹腔内脏器之间发生的不正常粘附。从粘连特征来讲有膜状粘连和索带状粘连两种情况;从粘连的本质来讲有纤维蛋白性粘连和纤维性粘连两个类...,继发性化脓性腹膜炎,肠瘘,肠系膜淋巴结炎,急性肠梗阻,小肠肿瘤
尿分叉,https://jbk.39.net/zhengzhuang/nfc/,,尿道是人体排泄尿液和精液的通道，在畅通无阻的情况下，排出的尿液呈直线状态。当外尿道口有阻力或阻挡的时候，尿线有可能出现分叉现象。长期性的排尿分叉，只要排尿就分叉，那是一种病态。尿分叉通常分为两...,尿道狭窄,重复尿道,尿道结石,,
肌肉跳动,https://jbk.39.net/zhengzhuang/jrtd/,,良性肌束颤综合征是一种常见的神经系统症状，表现为身体局部肌肉出现不自主的肌束颤动，即就是我们通常说的“肉跳”。,咖啡因与氨茶碱中毒,灭虫灵中毒,敌鼠中毒,有机磷农药中毒,驱蛔灵中毒
眼睑瘙痒,https://jbk.39.net/zhengzhuang/yjsy/,,眼睑瘙痒，多由接触性皮炎或者湿疹、热性疱疹、睑缘炎引起，主要表现为眼睑皮肤瘙痒。,过敏性眼睑皮肤炎,眼睑湿疹,瘙痒症,睑缘炎,赤脉传睛
牙根外露,https://jbk.39.net/zhengzhuang/ygwl/,,牙根外露，主要是指牙龈出现萎缩的现象，同时有牙缝变大，牙体变长和牙齿松动。牙根外露，出现牙龈萎缩常使裸露了的牙极对冷热的温度变化及酸性食物等异常敏感，经常出现刺激痛。,牙周病,牙周炎,牙齿感觉过敏症,龋齿,牙源性皮瘘
昏迷,https://jbk.39.net/zhengzhuang/hm/,,昏迷是由于大脑皮层及皮层下网状结构发生高度抑制而造成的最严重的意识障碍，即意识持续中断或完全丧失，最高级神经活动的高度抑制表现。临床上将昏迷分为浅昏迷和深昏迷两种。,兽咬伤,肝厥,蚂蚁叮咬,紫癜,尸厥
咽部充血,https://jbk.39.net/zhengzhuang/ybcx/,,咽部充血可能是得了咽炎。咽炎是一种非常多见的上呼吸道感染症，常由伤风感冒引起，几乎每个人的一生中都有过该病的体验，只不过是有的人病势轻些，有的人重些，有的人容易得，有的人不常得而已。,咽峡炎,咽炎,传染性红斑,咽部创伤,咽扁桃体肥大
产后脱发,https://jbk.39.net/zhengzhuang/chtf/,,许多产妇会出现脱发现象。现代医学研究认为，产后脱发现象实属一种生理现象，它与产妇的生理变化、精神因素及生活方式有一定的关系。一般在产后半年左右就自行停止，所以不要过分紧张。,脱发,,,,
精液带血,https://jbk.39.net/zhengzhuang/jydx/,,"精液带血指射出的精液有外观呈粉红色、红色、棕红色或带有血丝、血块,显微镜下涂片可见多量红细胞,则称为血精,医学上可分为肉眼血精和显微镜下血精,中医学称之为 "" 赤浊 "" .",男性急性淋病,少精症,淋病合并症精囊炎,,
小腿瘙痒干燥,https://jbk.39.net/zhengzhuang/xtsygz/,,小腿的皮肤总是容易发痒和皲裂，这是因为冬天气候干燥，小腿的脂肪比较薄，没有太多油脂的支持而导致的。,瘙痒症,皮肤瘙痒症,,,
胆红素升高,https://jbk.39.net/zhengzhuang/dhssg/,,　  胆红素是红细胞中的血色素所制造的色素，红细胞有固定的寿命，每日都会有所毁坏。此时，血色素会分解成为正铁血红素(haem)和血红素。然后正铁血红素依酶的作用会变成胆红素，而血红素则会重新制成组织蛋白。如...,病毒性肝炎,胆汁性肝硬化,新生儿肝炎,分流性高胆红素血症综合征,黄疸
虚汗,https://jbk.39.net/zhengzhuang/xh1/,,"由于体虚或患有某种疾病而引起的不正常的出汗现象，如休克、昏厥、结核病等都有出虚汗的症状。盗汗、虚汗多是由于体质虚弱所致,往往由于身体无太大的不适而被许多家长忽视。其实儿童盗汗、虚汗是不容忽视的...",肺结核,多汗症,损伤性休克,鼻恶性肉芽肿,休克
红斑鳞屑,https://jbk.39.net/zhengzhuang/hblx/,,鳞屑是即将脱落或已脱落的表皮角质层薄片。其大小、形态、厚薄、数量、色泽不一，有的干燥，有的油腻;大多是有红斑或丘疹损害的皮肤病的继发损害。红斑是真皮乳头层毛细血管网局限性或全身性扩张而产生局部的或...,念珠菌性龟头炎,红皮病型牛皮癣,脓胞型牛皮癣,皮肤病,瓜藤缠
新生儿便秘,https://jbk.39.net/zhengzhuang/xsebm/,,"婴儿便秘(constipation)是一种常见病症,指大便干硬，隔时较久，有时排便困难。单纯性便秘多因结肠吸收水分电解质增多引起。",风秘,急性扁桃体炎,先天性巨结肠,小儿便秘,便秘
阴道脓性分泌物,https://jbk.39.net/zhengzhuang/ydnxfmw/,,阴道分泌物呈黄绿色，脓性。,宫颈炎,外阴癌,滴虫性外阴炎,产褥感染,绝经后子宫内膜癌
单纯性宫颈糜烂,https://jbk.39.net/zhengzhuang/dcxgjml/,,单纯性宫颈糜烂多见于炎症初期，因其病情较轻，常常被忽略。较易引发成中度或重度的宫颈糜烂。,宫颈糜烂,,,,
阴部溃疡,https://jbk.39.net/zhengzhuang/ybky/,,阴部溃疡多发生在阴囊、龟头、女性阴唇、阴道壁、甚至子宫颈、尿道。溃疡形态与口腔溃疡相似，但反复性不似口腔溃疡强。查体可见外阴溃或溃疡愈合后的瘢痕。阴部溃疡是白塞综合症的主要临床表现之一,阴疮,阴部神经干痛,狐惑,食管克罗恩病,滴虫性外阴炎
面神经瘫痪,https://jbk.39.net/zhengzhuang/msjth/,,耳源性面神经瘫痪是指耳部疾病或手术损伤面神经某段所致的单侧面部表情肌麻痹。多见于急、慢性化脓性中耳炎、乳突炎及其并发症。,耳带状疱疹,腮腺混合瘤,面神经炎,干燥综合征神经系统损害,多发脑梗死性痴呆
腰椎椎管狭窄,https://jbk.39.net/zhengzhuang/yzzgxz/,,腰椎椎管狭窄症(vertebral canal stenosis)从总体概念上来讲是指因组成椎管的骨性或纤维性组织异常，引起椎管内的有效容量减小，以致位于管道中的神经组织受压或刺激而产生功能障碍及一系列症状。,椎管狭窄,原发性椎管内肿瘤,椎管内结核瘤,腰椎间盘突出,第三腰椎横突综合征
手凉,https://jbk.39.net/zhengzhuang/sl/,,手感凉：主脾肾阳虚。发内寒，体弱怕冷，血气不循环，吸收能力差。阳虚的人很容易怕冷。,阳虚,,,,
里急后重,https://jbk.39.net/zhengzhuang/ljhz/,,"""里急后重""是医学术语，形容拉肚子时的一种症状，一般病人患细菌性痢疾时都有""里急后重""的感觉.""里急""是指肚子里面的内急，一阵一阵的肠痉挛既疼痛又想大便.""后重""是指大便刺激肛门时产生的便意.实际上根本没有什么...",赤痢,休息痢,大肠湿热,肠血管瘤,气痢
稽留流产,https://jbk.39.net/zhengzhuang/jllc/,"(过期流产,死胎不)",稽留流产(missed abortion)：亦称过期流产或死胎不下。系指胚胎死亡而仍稽留于宫腔内者，且孕产物一般多在症状产生后1～2个月内排出。因此，皆规定胚胎停止发育后2个月尚未自然排出者，称为稽留流产。孕妇多有早期妊娠...,流产,自然流产,死胎,阴道炎,子宫颈平滑肌瘤
